anio_mes,SOURCES,ID_ANIME,Acumulado
2008-06-01,Unknown,7.0,329.0
2008-06-01,Visual novel,2.0,93.0
2008-06-01,Web manga,0.0,1.0
2008-07-01,4-koma manga,1.0,43.0
2008-07-01,Book,0.0,6.0
2008-07-01,Card game,0.0,1.0
2008-07-01,Digital manga,0.0,0.0
2008-07-01,Game,2.0,37.0
2008-07-01,Light novel,4.0,38.0
2008-07-01,Manga,11.0,261.0
2008-07-01,Music,1.0,6.0
2008-07-01,Novel,1.0,24.0
2008-07-01,Original,6.0,173.0
2008-07-01,Other,2.0,18.0
2008-07-01,Picture book,0.0,6.0
2008-07-01,Radio,0.0,0.0
2008-07-01,Unknown,12.0,341.0
2008-07-01,Visual novel,4.0,97.0
2008-07-01,Web manga,0.0,1.0
2008-09-01,4-koma manga,1.0,44.0
2008-09-01,Book,0.0,6.0
2008-09-01,Card game,1.0,2.0
2008-09-01,Digital manga,0.0,0.0
2008-09-01,Game,3.0,40.0
2008-09-01,Light novel,1.0,39.0
2008-09-01,Manga,4.0,265.0
2008-09-01,Music,0.0,6.0
2008-09-01,Novel,0.0,24.0
2008-09-01,Original,3.0,176.0
2008-09-01,Other,0.0,18.0
2008-09-01,Picture book,0.0,6.0
2008-09-01,Radio,0.0,0.0
2008-09-01,Unknown,5.0,346.0
2008-09-01,Visual novel,3.0,100.0
2008-09-01,Web manga,0.0,1.0
2009-01-01,4-koma manga,2.0,46.0
2009-01-01,Book,1.0,7.0
2009-01-01,Card game,0.0,2.0
2009-01-01,Digital manga,0.0,0.0
2009-01-01,Game,1.0,41.0
2009-01-01,Light novel,5.0,44.0
2009-01-01,Manga,14.0,279.0
2009-01-01,Music,0.0,6.0
2009-01-01,Novel,2.0,26.0
2009-01-01,Original,9.0,185.0
2009-01-01,Other,1.0,19.0
2009-01-01,Picture book,0.0,6.0
2009-01-01,Radio,0.0,0.0
2009-01-01,Unknown,7.0,353.0
2009-01-01,Visual novel,4.0,104.0
2009-01-01,Web manga,1.0,2.0
2009-02-01,4-koma manga,2.0,48.0
2009-02-01,Book,0.0,7.0
2009-02-01,Card game,0.0,2.0
2009-02-01,Digital manga,0.0,0.0
2009-02-01,Game,1.0,42.0
2009-02-01,Light novel,1.0,45.0
2009-02-01,Manga,3.0,282.0
2009-02-01,Music,1.0,7.0
2009-02-01,Novel,0.0,26.0
2009-02-01,Original,4.0,189.0
2009-02-01,Other,0.0,19.0
2009-02-01,Picture book,0.0,6.0
2009-02-01,Radio,0.0,0.0
2009-02-01,Unknown,6.0,359.0
2009-02-01,Visual novel,2.0,106.0
2009-02-01,Web manga,0.0,2.0
2009-03-01,4-koma manga,1.0,49.0
2009-03-01,Book,0.0,7.0
2009-03-01,Card game,0.0,2.0
2009-03-01,Digital manga,0.0,0.0
2009-03-01,Game,0.0,42.0
2009-03-01,Light novel,2.0,47.0
